Sensor 0,Sensor 1,Motor 0 speed,Motor 1 speed,SensorDiff (error),SpeedDiff (set)
86,23,39,21,63,18
82,16,39,21,66,18
84,19,39,21,65,18
84,29,38,22,55,16
80,24,38,22,56,16
71,25,36,24,46,12
63,24,35,25,39,10
70,22,37,23,48,14
62,18,36,24,44,12
65,15,37,23,50,14
54,13,36,24,41,12
54,12,36,24,42,12
53,13,36,24,40,12
58,13,36,24,45,12
52,22,34,26,30,8
59,15,36,24,44,12
50,13,35,25,37,10
49,13,35,25,36,10
48,25,33,27,23,6
51,32,32,28,19,4
43,33,31,29,10,2
41,58,28,32,-17,-4
34,33,30,30,1,0
39,29,31,29,10,2
43,30,31,29,13,2
43,30,31,29,13,2
56,31,33,27,25,6
58,18,36,24,40,12
59,20,35,25,39,10
56,34,33,27,22,6
51,37,32,28,14,4
52,37,32,28,15,4
49,37,31,29,12,2
48,34,32,28,14,4
54,37,32,28,17,4
42,44,30,30,-2,0
35,43,29,31,-8,-2
30,40,29,31,-10,-2
47,39,31,29,8,2
34,42,29,31,-8,-2
43,54,29,31,-11,-2
41,68,26,34,-27,-8
46,69,27,33,-23,-6
51,74,27,33,-23,-6
46,80,25,35,-34,-10
41,78,25,35,-37,-10
43,69,27,33,-26,-6
46,64,28,32,-18,-4
43,58,28,32,-15,-4
42,43,30,30,-1,0
46,35,31,29,11,2
47,26,33,27,21,6
54,24,34,26,30,8
56,25,34,26,31,8
57,13,36,24,44,12
59,12,37,23,47,14
57,20,35,25,37,10
57,21,35,25,36,10
51,15,35,25,36,10
50,24,33,27,26,6
42,23,32,28,19,4
50,19,34,26,31,8
47,27,33,27,20,6
47,25,33,27,22,6
59,32,34,26,27,8
47,19,34,26,28,8
47,20,34,26,27,8
56,18,35,25,38,10
55,17,35,25,38,10
48,29,32,28,19,4
50,14,35,25,36,10
51,15,35,25,36,10
47,27,33,27,20,6
41,16,33,27,25,6
48,16,34,26,32,8
52,15,35,25,37,10
56,13,36,24,43,12
60,15,36,24,45,12
59,15,36,24,44,12
61,13,37,23,48,14
57,18,35,25,39,10
53,13,36,24,40,12
61,21,36,24,40,12
59,24,35,25,35,10
57,14,36,24,43,12
58,13,36,24,45,12
59,14,36,24,45,12
51,15,35,25,36,10
46,18,34,26,28,8
43,31,31,29,12,2
54,20,35,25,34,10
57,24,34,26,33,8
64,16,37,23,48,14
68,20,37,23,48,14
78,18,39,21,60,18
91,15,41,19,76,22
107,17,43,17,90,26
116,16,45,15,100,30
140,15,48,12,125,36
155,14,50,9,141,41
163,13,50,8,150,42
174,13,50,6,161,44
177,13,50,6,164,44
176,13,50,6,163,44
173,12,50,6,161,44
168,13,50,7,155,43
162,12,50,8,150,42
155,17,50,10,138,40
141,16,48,12,125,36
110,14,44,16,96,28
98,13,42,18,85,24
83,17,39,21,66,18
66,27,35,25,39,10
48,16,34,26,32,8
45,13,34,26,32,8
46,13,34,26,33,8
46,14,34,26,32,8
47,14,34,26,33,8
45,12,34,26,33,8
41,13,34,26,28,8
40,13,34,26,27,8
40,20,33,27,20,6
41,22,32,28,19,4
54,27,34,26,27,8
53,24,34,26,29,8
43,27,32,28,16,4
50,29,33,27,21,6
47,29,32,28,18,4
53,32,33,27,21,6
48,39,31,29,9,2
50,41,31,29,9,2
47,12,35,25,35,10
44,20,33,27,24,6
41,16,33,27,25,6
38,16,33,27,22,6
43,16,34,26,27,8
45,13,34,26,32,8
51,14,35,25,37,10
61,16,36,24,45,12
56,14,36,24,42,12
60,12,37,23,48,14
49,12,35,25,37,10
48,13,35,25,35,10
51,14,35,25,37,10
55,14,36,24,41,12
53,22,34,26,31,8
69,39,34,26,30,8
74,17,38,22,57,16
77,14,39,21,63,18
84,18,39,21,66,18
93,16,41,19,77,22
90,29,39,21,61,18
96,19,41,19,77,22
100,29,40,20,71,20
97,22,41,19,75,22
100,20,42,18,80,24
95,13,42,18,82,24
101,13,43,17,88,26
103,18,42,18,85,24
106,17,43,17,89,26
100,13,43,17,87,26
91,14,41,19,77,22
88,12,41,19,76,22
89,14,41,19,75,22
89,14,41,19,75,22
97,14,42,18,83,24
93,14,41,19,79,22
93,25,40,20,68,20
94,18,41,19,76,22
93,14,41,19,79,22
106,24,42,18,82,24
102,35,40,20,67,20
109,19,43,17,90,26
109,16,43,17,93,26
107,19,43,17,88,26
106,16,43,17,90,26
109,17,43,17,92,26
116,31,42,18,85,24
105,24,42,18,81,24
121,27,44,16,94,28
124,22,45,15,102,30
134,22,46,14,112,32
132,20,46,14,112,32
133,41,43,17,92,26
129,41,43,17,88,26
116,38,41,19,78,22
111,33,41,19,78,22
110,39,40,20,71,20
103,30,40,20,73,20
103,28,41,19,75,22
105,35,40,20,70,20
110,30,42,18,80,24
109,38,40,20,71,20
104,27,41,19,77,22
101,16,42,18,85,24
89,25,39,21,64,18
95,14,42,18,81,24
95,13,42,18,82,24
88,14,41,19,74,22
92,13,41,19,79,22
79,11,40,20,68,20
72,11,39,21,61,18
59,13,36,24,46,12
56,14,36,24,42,12
62,17,36,24,45,12
63,15,37,23,48,14
64,15,37,23,49,14
62,13,37,23,49,14
63,13,37,23,50,14
62,13,37,23,49,14
56,13,36,24,43,12
52,14,35,25,38,10
48,14,35,25,34,10
43,13,34,26,30,8
38,13,33,27,25,6
40,12,34,26,28,8
36,11,33,27,25,6
48,11,35,25,37,10
43,12,34,26,31,8
51,12,35,25,39,10
47,12,35,25,35,10
51,11,36,24,40,12
54,12,36,24,42,12
56,12,36,24,44,12
58,12,36,24,46,12
50,11,35,25,39,10
55,11,36,24,44,12
56,12,36,24,44,12
53,12,36,24,41,12
50,12,35,25,38,10
59,12,37,23,47,14
70,13,38,22,57,16
76,13,39,21,63,18
80,14,39,21,66,18
75,21,38,22,54,16
77,13,39,21,64,18
89,13,41,19,76,22
100,13,43,17,87,26
96,14,42,18,82,24
111,19,43,17,92,26
107,20,43,17,87,26
111,23,43,17,88,26
118,35,42,18,83,24
122,27,44,16,95,28
120,31,43,17,89,26
106,36,40,20,70,20
89,35,38,22,54,16
85,31,38,22,54,16
76,22,38,22,54,16
73,24,37,23,49,14
78,26,37,23,52,14
80,22,38,22,58,16
83,20,39,21,63,18
82,17,39,21,65,18
106,25,42,18,81,24
113,27,42,18,86,24
109,33,41,19,76,22
114,30,42,18,84,24
103,22,42,18,81,24
94,15,41,19,79,22
87,15,40,20,72,20
83,20,39,21,63,18
75,15,39,21,60,18
80,19,39,21,61,18
74,31,36,24,43,12
91,48,36,24,43,12
60,32,34,26,28,8
63,22,36,24,41,12
68,18,37,23,50,14
57,15,36,24,42,12
58,25,34,26,33,8
53,27,33,27,26,6
42,34,31,29,8,2
46,19,34,26,27,8
48,13,35,25,35,10
64,13,37,23,51,14
45,12,34,26,33,8
45,12,34,26,33,8
47,13,35,25,34,10
40,15,33,27,25,6
40,12,34,26,28,8
41,12,34,26,29,8
42,11,34,26,31,8
48,12,35,25,36,10
49,12,35,25,37,10
50,12,35,25,38,10
45,12,34,26,33,8
49,19,34,26,30,8
44,14,34,26,30,8
40,27,31,29,13,2
41,13,34,26,28,8
45,12,34,26,33,8
40,13,34,26,27,8
37,12,33,27,25,6
41,15,33,27,26,6
34,32,30,30,2,0
33,42,29,31,-9,-2
31,54,27,33,-23,-6
30,64,25,35,-34,-10
32,77,24,36,-45,-12
41,93,23,37,-52,-14
45,104,22,38,-59,-16
46,109,21,39,-63,-18
46,139,17,43,-93,-26
50,161,14,46,-111,-32
51,162,14,46,-111,-32
61,170,14,46,-109,-32
52,169,13,47,-117,-34
53,161,14,46,-108,-32
54,149,16,44,-95,-28
52,128,19,41,-76,-22
51,111,21,39,-60,-18
52,92,24,36,-40,-12
49,85,25,35,-36,-10
42,70,26,34,-28,-8
41,63,27,33,-22,-6
46,66,27,33,-20,-6
43,57,28,32,-14,-4
39,52,29,31,-13,-2
44,54,29,31,-10,-2
42,42,30,30,0,0
50,42,31,29,8,2
47,40,31,29,7,2
47,34,31,29,13,2
41,39,30,30,2,0
38,27,31,29,11,2
55,21,35,25,34,10
26,41,28,32,-15,-4
34,30,30,30,4,0
38,30,31,29,8,2
41,29,31,29,12,2
39,36,30,30,3,0
51,42,31,29,9,2
50,32,32,28,18,4
47,34,31,29,13,2
44,33,31,29,11,2
48,27,33,27,21,6
44,20,33,27,24,6
43,25,32,28,18,4
47,20,34,26,27,8
37,27,31,29,10,2
43,21,33,27,22,6
48,35,31,29,13,2
49,27,33,27,22,6
52,19,34,26,33,8
56,20,35,25,36,10
53,24,34,26,29,8
48,15,34,26,33,8
45,13,34,26,32,8
46,14,34,26,32,8
52,26,33,27,26,6
47,13,35,25,34,10
49,13,35,25,36,10
46,13,34,26,33,8
44,13,34,26,31,8
50,17,34,26,33,8
53,14,35,25,39,10
44,12,34,26,32,8
48,14,35,25,34,10
48,15,34,26,33,8
46,32,32,28,14,4
48,58,29,31,-10,-2
37,20,32,28,17,4
58,18,36,24,40,12
53,15,35,25,38,10
57,29,34,26,28,8
48,28,33,27,20,6
51,26,33,27,25,6
45,21,33,27,24,6
45,23,33,27,22,6
45,16,34,26,29,8
48,24,33,27,24,6
38,39,30,30,-1,0
37,36,30,30,1,0
30,37,29,31,-7,-2
40,35,30,30,5,0
41,40,30,30,1,0
41,32,31,29,9,2
44,19,33,27,25,6
51,22,34,26,29,8
53,17,35,25,36,10
43,17,33,27,26,6
40,13,34,26,27,8
37,12,33,27,25,6
37,12,33,27,25,6
35,13,33,27,22,6
31,13,32,28,18,4
30,17,31,29,13,2
27,20,31,29,7,2
30,14,32,28,16,4
29,15,32,28,14,4
37,13,33,27,24,6
44,20,33,27,24,6
43,20,33,27,23,6
43,16,34,26,27,8
43,13,34,26,30,8
36,14,33,27,22,6
34,28,30,30,6,0
35,24,31,29,11,2
51,28,33,27,23,6
62,34,34,26,28,8
45,34,31,29,11,2
55,41,32,28,14,4
53,41,31,29,12,2
53,30,33,27,23,6
50,32,32,28,18,4
50,42,31,29,8,2
51,39,31,29,12,2
51,38,31,29,13,2
40,38,30,30,2,0
33,41,29,31,-8,-2
29,43,28,32,-14,-4
23,35,29,31,-12,-2
33,29,30,30,4,0
33,31,30,30,2,0
37,30,31,29,7,2
34,40,30,30,-6,0
38,41,30,30,-3,0
41,20,33,27,21,6
41,20,33,27,21,6
40,27,31,29,13,2
34,29,30,30,5,0
26,26,30,30,0,0
28,29,30,30,-1,0
32,28,30,30,4,0
35,24,31,29,11,2
36,19,32,28,17,4
31,15,32,28,16,4
31,14,32,28,17,4
30,15,32,28,15,4
42,20,33,27,22,6
45,20,33,27,25,6
50,29,33,27,21,6
49,14,35,25,35,10
52,21,34,26,31,8
46,15,34,26,31,8
48,12,35,25,36,10
45,13,34,26,32,8
51,15,35,25,36,10
36,23,31,29,13,2
35,16,32,28,19,4
41,23,32,28,18,4
39,16,33,27,23,6
41,16,33,27,25,6
43,16,34,26,27,8
45,76,26,34,-31,-8
38,21,32,28,17,4
38,26,31,29,12,2
30,20,31,29,10,2
29,26,30,30,3,0
26,22,30,30,4,0
35,13,33,27,22,6
40,14,33,27,26,6
48,14,35,25,34,10
51,13,35,25,38,10
48,13,35,25,35,10
53,18,35,25,35,10
47,25,33,27,22,6
48,18,34,26,30,8
64,16,37,23,48,14
105,90,32,28,15,4
166,167,30,30,-1,0
201,177,33,27,24,6
198,160,35,25,38,10
181,170,31,29,11,2
135,123,31,29,12,2
79,70,31,29,9,2
51,14,35,25,37,10
49,14,35,25,35,10
52,14,35,25,38,10
40,21,32,28,19,4
36,24,31,29,12,2
27,26,30,30,1,0
23,14,31,29,9,2
43,13,34,26,30,8
55,13,36,24,42,12
46,13,34,26,33,8
46,19,34,26,27,8
44,20,33,27,24,6
50,20,34,26,30,8
42,14,34,26,28,8
41,17,33,27,24,6
44,20,33,27,24,6
47,18,34,26,29,8
57,36,33,27,21,6
48,18,34,26,30,8
47,13,35,25,34,10
44,12,34,26,32,8
51,12,35,25,39,10
37,12,33,27,25,6
38,12,33,27,26,6
44,12,34,26,32,8
44,12,34,26,32,8
49,13,35,25,36,10
44,12,34,26,32,8
40,13,34,26,27,8
43,12,34,26,31,8
45,13,34,26,32,8
45,13,34,26,32,8
44,13,34,26,31,8
40,13,34,26,27,8
44,13,34,26,31,8
48,13,35,25,35,10
46,12,35,25,34,10
47,12,35,25,35,10
46,12,35,25,34,10
46,16,34,26,30,8
47,24,33,27,23,6
54,30,33,27,24,6
70,32,35,25,38,10
58,41,32,28,17,4
64,35,34,26,29,8
57,36,33,27,21,6
53,27,33,27,26,6
56,30,33,27,26,6
59,36,33,27,23,6
54,27,34,26,27,8
56,29,34,26,27,8
61,22,35,25,39,10
69,26,36,24,43,12
66,27,35,25,39,10
65,15,37,23,50,14
60,14,36,24,46,12
56,14,36,24,42,12
47,16,34,26,31,8
51,13,35,25,38,10
55,13,36,24,42,12
58,14,36,24,44,12
57,16,36,24,41,12
60,15,36,24,45,12
61,14,37,23,47,14
61,14,37,23,47,14
59,12,37,23,47,14
65,13,37,23,52,14
51,17,35,25,34,10
52,21,34,26,31,8
64,15,37,23,49,14
58,13,36,24,45,12
60,13,37,23,47,14
55,13,36,24,42,12
53,17,35,25,36,10
51,23,34,26,28,8
47,13,35,25,34,10
56,13,36,24,43,12
50,12,35,25,38,10
41,13,34,26,28,8
41,13,34,26,28,8
41,12,34,26,29,8
36,13,33,27,23,6
43,14,34,26,29,8
41,13,34,26,28,8
44,12,34,26,32,8
43,12,34,26,31,8
38,12,33,27,26,6
43,12,34,26,31,8
43,13,34,26,30,8
48,13,35,25,35,10
50,15,35,25,35,10
54,15,35,25,39,10
56,13,36,24,43,12
58,12,36,24,46,12
57,12,36,24,45,12
56,13,36,24,43,12
67,14,37,23,53,14
60,21,35,25,39,10
67,20,37,23,47,14
56,12,36,24,44,12
46,14,34,26,32,8
58,17,36,24,41,12
52,21,34,26,31,8
56,32,33,27,24,6
64,49,32,28,15,4
74,42,34,26,32,8
79,39,36,24,40,12
80,44,35,25,36,10
75,39,35,25,36,10
70,46,33,27,24,6
76,41,35,25,35,10
71,45,33,27,26,6
73,50,33,27,23,6
72,53,32,28,19,4
71,56,32,28,15,4
74,72,30,30,2,0
71,73,30,30,-2,0
72,87,28,32,-15,-4
67,131,21,39,-64,-18
67,88,27,33,-21,-6
83,102,28,32,-19,-4
71,108,25,35,-37,-10
69,103,25,35,-34,-10
92,117,27,33,-25,-6
85,118,26,34,-33,-8
57,118,21,39,-61,-18
65,136,20,40,-71,-20
65,121,22,38,-56,-16
68,134,21,39,-66,-18
67,123,22,38,-56,-16
67,131,21,39,-64,-18
62,129,20,40,-67,-20
67,130,21,39,-63,-18
66,122,22,38,-56,-16
59,116,22,38,-57,-16
62,113,23,37,-51,-14
59,102,24,36,-43,-12
67,94,26,34,-27,-8
71,86,28,32,-15,-4
66,75,29,31,-9,-2
65,72,29,31,-7,-2
68,64,30,30,4,0
74,64,31,29,10,2
52,63,29,31,-11,-2
56,57,30,30,-1,0
57,39,32,28,18,4
58,33,33,27,25,6
61,36,33,27,25,6
49,26,33,27,23,6
51,19,34,26,32,8
54,18,35,25,36,10
46,16,34,26,30,8
41,13,34,26,28,8
28,12,32,28,16,4
27,12,32,28,15,4
31,12,32,28,19,4
40,14,33,27,26,6
48,13,35,25,35,10
51,12,35,25,39,10
47,12,35,25,35,10
42,13,34,26,29,8
40,13,34,26,27,8
36,20,32,28,16,4
27,24,30,30,3,0
32,20,31,29,12,2
40,20,33,27,20,6
47,26,33,27,21,6
46,38,31,29,8,2
47,42,30,30,5,0
40,45,30,30,-5,0
38,52,28,32,-14,-4
35,58,27,33,-23,-6
28,44,28,32,-16,-4
27,52,27,33,-25,-6
38,54,28,32,-16,-4
47,61,28,32,-14,-4
58,55,30,30,3,0
55,62,29,31,-7,-2
56,47,31,29,9,2
58,48,31,29,10,2
55,50,30,30,5,0
52,57,30,30,-5,0
63,59,30,30,4,0
65,64,30,30,1,0
61,64,30,30,-3,0
56,71,28,32,-15,-4
50,74,27,33,-24,-6
45,81,25,35,-36,-10
41,77,25,35,-36,-10
44,78,25,35,-34,-10
41,60,28,32,-19,-4
50,70,27,33,-20,-6
59,84,27,33,-25,-6
62,74,29,31,-12,-2
67,74,29,31,-7,-2
71,81,29,31,-10,-2
72,83,29,31,-11,-2
68,81,29,31,-13,-2
70,58,31,29,12,2
60,63,30,30,-3,0
58,66,29,31,-8,-2
62,61,30,30,1,0
56,57,30,30,-1,0
57,51,30,30,6,0
57,62,30,30,-5,0
53,36,32,28,17,4
55,62,29,31,-7,-2
57,48,31,29,9,2
51,48,30,30,3,0
53,41,31,29,12,2
54,40,32,28,14,4
60,32,34,26,28,8
62,36,33,27,26,6
62,53,31,29,9,2
54,47,31,29,7,2
55,57,30,30,-2,0
58,43,32,28,15,4
49,49,30,30,0,0
51,60,29,31,-9,-2
59,53,30,30,6,0
61,56,30,30,5,0
42,58,28,32,-16,-4
43,60,28,32,-17,-4
38,54,28,32,-16,-4
38,48,29,31,-10,-2
39,49,29,31,-10,-2
41,56,28,32,-15,-4
43,51,29,31,-8,-2
49,53,30,30,-4,0
60,54,30,30,6,0
59,54,30,30,5,0
60,50,31,29,10,2
52,50,30,30,2,0
58,54,30,30,4,0
60,62,30,30,-2,0
52,63,29,31,-11,-2
53,64,29,31,-11,-2
58,54,30,30,4,0
63,65,30,30,-2,0
60,62,30,30,-2,0
62,70,29,31,-8,-2
61,71,29,31,-10,-2
56,73,28,32,-17,-4
55,69,28,32,-14,-4
51,65,28,32,-14,-4
50,83,26,34,-33,-8
58,90,26,34,-32,-8
63,68,30,30,-5,0
64,61,30,30,3,0
53,62,29,31,-9,-2
44,55,29,31,-11,-2
45,62,28,32,-17,-4
39,63,27,33,-24,-6
51,52,30,30,-1,0
64,47,32,28,17,4
57,41,32,28,16,4
54,24,34,26,30,8
48,20,34,26,28,8
48,30,32,28,18,4
50,18,34,26,32,8
50,17,34,26,33,8
52,13,35,25,39,10
51,18,34,26,33,8
54,30,33,27,24,6
58,28,34,26,30,8
59,21,35,25,38,10
60,27,34,26,33,8
56,21,35,25,35,10
51,14,35,25,37,10
52,15,35,25,37,10
42,21,33,27,21,6
41,23,32,28,18,4
44,32,31,29,12,2
48,38,31,29,10,2
52,32,33,27,20,6
56,42,32,28,14,4
54,44,31,29,10,2
47,51,30,30,-4,0
55,50,30,30,5,0
54,19,35,25,35,10
56,13,36,24,43,12
58,25,34,26,33,8
58,24,35,25,34,10
59,21,35,25,38,10
56,21,35,25,35,10
59,15,36,24,44,12
51,18,34,26,33,8
50,28,33,27,22,6
41,24,32,28,17,4
37,29,31,29,8,2
46,17,34,26,29,8
53,17,35,25,36,10
57,21,35,25,36,10
59,16,36,24,43,12
57,14,36,24,43,12
58,16,36,24,42,12
50,13,35,25,37,10
50,13,35,25,37,10
43,15,34,26,28,8
35,19,32,28,16,4
38,13,33,27,25,6
40,13,34,26,27,8
44,13,34,26,31,8
48,13,35,25,35,10
47,14,34,26,33,8
55,13,36,24,42,12
58,17,36,24,41,12
54,17,35,25,37,10
48,20,34,26,28,8
49,25,33,27,24,6
45,28,32,28,17,4
44,24,33,27,20,6
48,21,34,26,27,8
52,27,33,27,25,6
59,17,36,24,42,12
56,26,34,26,30,8
59,27,34,26,32,8
65,39,33,27,26,6
62,45,32,28,17,4
61,35,33,27,26,6
64,39,33,27,25,6
61,33,34,26,28,8
57,25,34,26,32,8
58,23,35,25,35,10
60,20,36,24,40,12
56,27,34,26,29,8
53,29,33,27,24,6
53,27,33,27,26,6
57,32,33,27,25,6
63,32,34,26,31,8
64,34,34,26,30,8
62,35,34,26,27,8
65,36,34,26,29,8
60,28,34,26,32,8
55,19,35,25,36,10
56,15,36,24,41,12
51,16,35,25,35,10
52,13,35,25,39,10
51,42,31,29,9,2
53,14,35,25,39,10
48,13,35,25,35,10
45,14,34,26,31,8
45,17,34,26,28,8
51,13,35,25,38,10
51,12,35,25,39,10
50,14,35,25,36,10
43,23,33,27,20,6
39,34,30,30,5,0
41,48,29,31,-7,-2
55,54,30,30,1,0
52,61,29,31,-9,-2
50,63,29,31,-13,-2
55,69,28,32,-14,-4
57,79,27,33,-22,-6
58,81,27,33,-23,-6
56,89,26,34,-33,-8
53,89,25,35,-36,-10
52,87,25,35,-35,-10
47,104,22,38,-57,-16
43,99,22,38,-56,-16
36,99,21,39,-63,-18
29,91,21,39,-62,-18
28,87,22,38,-59,-16
34,96,21,39,-62,-18
34,84,23,37,-50,-14
43,73,26,34,-30,-8
30,73,24,36,-43,-12
32,72,24,36,-40,-12
37,66,26,34,-29,-8
42,58,28,32,-16,-4
45,38,31,29,7,2
43,43,30,30,0,0
37,36,30,30,1,0
34,29,30,30,5,0
35,32,30,30,3,0
35,38,30,30,-3,0
33,37,30,30,-4,0
30,32,30,30,-2,0
27,39,29,31,-12,-2
37,42,30,30,-5,0
49,34,32,28,15,4
47,29,32,28,18,4
52,40,31,29,12,2
46,43,30,30,3,0
47,45,30,30,2,0
52,45,31,29,7,2
57,49,31,29,8,2
62,53,31,29,9,2
62,55,31,29,7,2
57,62,30,30,-5,0
51,66,28,32,-15,-4
56,61,30,30,-5,0
62,58,30,30,4,0
57,54,30,30,3,0
54,34,33,27,20,6
47,42,30,30,5,0
42,37,30,30,5,0
44,35,31,29,9,2
49,42,31,29,7,2
49,39,31,29,10,2
51,34,32,28,17,4
54,35,32,28,19,4
58,34,33,27,24,6
61,49,31,29,12,2
57,33,33,27,24,6
50,23,34,26,27,8
43,16,34,26,27,8
45,21,33,27,24,6
43,30,31,29,13,2
49,35,32,28,14,4
47,28,32,28,19,4
38,22,32,28,16,4
41,16,33,27,25,6
39,22,32,28,17,4
40,28,31,29,12,2
38,22,32,28,16,4
40,32,31,29,8,2
37,25,31,29,12,2
44,20,33,27,24,6
50,28,33,27,22,6
53,18,35,25,35,10
51,21,34,26,30,8
47,33,32,28,14,4
53,31,33,27,22,6
54,23,34,26,31,8
42,18,33,27,24,6
38,25,31,29,13,2
23,22,30,30,1,0
20,25,30,30,-5,0
35,19,32,28,16,4
35,13,33,27,22,6
41,13,34,26,28,8
42,14,34,26,28,8
44,19,33,27,25,6
55,22,34,26,33,8
51,20,34,26,31,8
56,26,34,26,30,8
57,17,36,24,40,12
55,26,34,26,29,8
